,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
768,768,2019-01-31,TOR,MIL,37,93,0.398,30,66,0.455,7,27,0.259,11,13,0.846,92,39,79,0.494,25,41,0.61,14,38,0.368,13,17,0.765,105,98.9247311827957,132.91139240506328,1500,1500,1500
769,769,2019-02-01,CHO,MEM,32,73,0.438,20,44,0.455,12,29,0.414,24,28,0.857,100,35,80,0.438,26,51,0.51,9,29,0.31,13,17,0.765,92,136.986301369863,115.0,1500,1500,1500
770,770,2019-02-01,DEN,HOU,51,82,0.622,37,51,0.725,14,31,0.452,20,23,0.87,136,45,85,0.529,29,41,0.707,16,44,0.364,16,21,0.762,122,165.85365853658536,143.52941176470588,1500,1500,1500
771,771,2019-02-01,MIA,OKC,41,92,0.446,30,56,0.536,11,36,0.306,9,14,0.643,102,44,91,0.484,28,61,0.459,16,30,0.533,14,19,0.737,118,110.86956521739133,129.67032967032966,1500,1500,1500
772,772,2019-02-01,NYK,BOS,39,86,0.453,30,55,0.545,9,31,0.29,12,12,1.0,99,46,100,0.46,33,63,0.524,13,37,0.351,8,10,0.8,113,115.11627906976744,113.0,1500,1500,1500
773,773,2019-02-01,UTA,ATL,46,87,0.529,34,52,0.654,12,35,0.343,24,30,0.8,128,39,98,0.398,25,52,0.481,14,46,0.304,20,24,0.833,112,147.1264367816092,114.28571428571428,1500,1500,1500
774,774,2019-02-02,CHO,CHI,43,82,0.524,29,50,0.58,14,32,0.438,25,29,0.862,125,42,81,0.519,33,57,0.579,9,24,0.375,25,25,1.0,118,152.4390243902439,145.679012345679,1500,1500,1500
775,775,2019-02-02,CLE,DAL,34,85,0.4,30,62,0.484,4,23,0.174,26,33,0.788,98,40,84,0.476,24,45,0.533,16,39,0.41,15,19,0.789,111,115.2941176470588,132.14285714285714,1500,1500,1500
776,776,2019-02-02,DET,LAC,35,83,0.422,18,41,0.439,17,42,0.405,14,20,0.7,101,40,82,0.488,30,62,0.484,10,20,0.5,21,34,0.618,111,121.6867469879518,135.3658536585366,1500,1500,1500
777,777,2019-02-02,GSW,LAL,43,91,0.473,32,57,0.561,11,34,0.324,18,19,0.947,115,42,96,0.438,35,69,0.507,7,27,0.259,10,17,0.588,101,126.37362637362637,105.20833333333331,1500,1500,1500
778,778,2019-02-02,MIA,IND,30,71,0.423,21,41,0.512,9,30,0.3,19,26,0.731,88,38,89,0.427,31,65,0.477,7,24,0.292,12,17,0.706,95,123.94366197183098,106.74157303370788,1500,1500,1500
779,779,2019-02-02,MIN,DEN,42,89,0.472,31,55,0.564,11,34,0.324,11,16,0.688,106,42,89,0.472,29,56,0.518,13,33,0.394,10,14,0.714,107,119.10112359550564,120.2247191011236,1500,1500,1500
780,780,2019-02-02,ORL,BRK,41,94,0.436,31,67,0.463,10,27,0.37,10,12,0.833,102,33,91,0.363,23,53,0.434,10,38,0.263,13,16,0.813,89,108.51063829787232,97.8021978021978,1500,1500,1500
781,781,2019-02-02,PHO,ATL,45,96,0.469,33,64,0.516,12,32,0.375,10,18,0.556,112,43,84,0.512,29,52,0.558,14,32,0.438,18,26,0.692,118,116.66666666666669,140.47619047619045,1500,1500,1500
782,782,2019-02-02,SAC,PHI,42,92,0.457,31,62,0.5,11,30,0.367,20,24,0.833,115,41,93,0.441,34,60,0.567,7,33,0.212,19,25,0.76,108,125.0,116.12903225806453,1500,1500,1500
783,783,2019-02-02,SAS,NOP,44,92,0.478,35,69,0.507,9,23,0.391,16,18,0.889,113,43,96,0.448,33,61,0.541,10,35,0.286,12,12,1.0,108,122.82608695652172,112.5,1500,1500,1500
784,784,2019-02-02,UTA,HOU,31,86,0.36,20,45,0.444,11,41,0.268,25,36,0.694,98,40,87,0.46,25,48,0.521,15,39,0.385,30,37,0.811,125,113.95348837209302,143.67816091954023,1500,1500,1500
785,785,2019-02-02,WAS,MIL,43,93,0.462,33,60,0.55,10,33,0.303,19,26,0.731,115,45,91,0.495,28,52,0.538,17,39,0.436,24,24,1.0,131,123.65591397849462,143.95604395604394,1500,1500,1500
786,786,2019-02-03,BOS,OKC,54,91,0.593,41,57,0.719,13,34,0.382,13,17,0.765,134,45,92,0.489,31,57,0.544,14,35,0.4,25,34,0.735,129,147.25274725274727,140.2173913043478,1500,1500,1500
787,787,2019-02-03,NYK,MEM,28,74,0.378,16,34,0.471,12,40,0.3,16,22,0.727,84,37,91,0.407,28,65,0.431,9,26,0.346,13,18,0.722,96,113.51351351351352,105.4945054945055,1500,1500,1500
788,788,2019-02-03,TOR,LAC,43,94,0.457,34,61,0.557,9,33,0.273,26,31,0.839,121,38,89,0.427,36,77,0.468,2,12,0.167,25,29,0.862,103,128.72340425531914,115.73033707865169,1500,1500,1500
789,789,2019-02-04,BRK,MIL,33,102,0.324,28,60,0.467,5,42,0.119,23,28,0.821,94,43,101,0.426,33,62,0.532,10,39,0.256,17,25,0.68,113,92.15686274509804,111.88118811881188,1500,1500,1500
790,790,2019-02-04,DET,DEN,48,88,0.545,32,51,0.627,16,37,0.432,17,20,0.85,129,41,92,0.446,32,64,0.5,9,28,0.321,12,22,0.545,103,146.5909090909091,111.95652173913044,1500,1500,1500
791,791,2019-02-04,NOP,IND,39,90,0.433,30,52,0.577,9,38,0.237,20,24,0.833,107,41,91,0.451,31,63,0.492,10,28,0.357,17,24,0.708,109,118.88888888888889,119.78021978021978,1500,1500,1500
792,792,2019-02-04,PHO,HOU,45,84,0.536,38,59,0.644,7,25,0.28,13,18,0.722,110,43,87,0.494,30,46,0.652,13,41,0.317,19,25,0.76,118,130.95238095238096,135.63218390804596,1500,1500,1500
793,793,2019-02-04,SAC,SAS,50,90,0.556,37,58,0.638,13,32,0.406,14,23,0.609,127,42,98,0.429,33,66,0.5,9,32,0.281,19,21,0.905,112,141.11111111111111,114.28571428571428,1500,1500,1500
